location,counts,lon,lat,loctype
苏州吴江海悦园大酒店,301,120.663544,31.169586,酒店宾馆
苏州金陵观园国际酒店,303,120.722549,31.27359,酒店宾馆
上海颖奕高尔夫皇冠假日酒店,305,121.192186,31.27255016,酒店宾馆
江南花园酒店,308,120.419052,31.955238,酒店宾馆
湖之景酒店,310,120.84491,31.02961,酒店宾馆
吴江盛世锦江国际大酒店,312,120.64994,30.90323,酒店宾馆
苏州太湖高尔夫酒店,314,120.39176,31.21829,酒店宾馆
苏州白金汉爵大酒店,314,120.6379402,31.36543244,酒店宾馆
苏州阳澄湖维景国际度假酒店,316,120.771843,31.446751,酒店宾馆
乌镇?黄金水岸大酒店,320,120.49707,30.731581,酒店宾馆
湖州太湖阳光雷迪森度假酒店,320,120.121277,30.94832,酒店宾馆
嘉兴奥林匹克大酒店,321,120.74902,30.82518,酒店宾馆
颐舍温泉酒店,322,120.4654366,31.13705264,酒店宾馆
裕元花园酒店,330,120.979248,31.37557983,酒店宾馆
华芳金陵国际酒店,335,120.5462903,31.87284412,酒店宾馆
海悦花园大酒店,336,120.664886,31.169588,酒店宾馆
无锡梁鸿湿地丽笙度假酒店,338,120.505874,31.509641,酒店宾馆
苏州苏哥利酒店,341,120.623581,31.31188,酒店宾馆
无锡君来世尊酒店,349,120.3231883,31.47980623,酒店宾馆
新有斐大酒店,352,120.865097,32.011589,酒店宾馆
在水一方大酒店,364,120.646317,31.363819,酒店宾馆
常熟凯悦国际酒店,364,120.78878,31.60309,酒店宾馆
苏州友联假日酒店,364,120.608818,31.281349,酒店宾馆
上海夏阳湖皇冠假日酒店,366,121.1339,31.15049,酒店宾馆
苏州环秀晓筑养生温泉度假酒店,368,120.5568184,31.21358491,酒店宾馆
茉莉花假日酒店,369,120.6037674,31.31023979,酒店宾馆
常熟时风国际假日酒店,370,120.757767,31.644899,酒店宾馆
常熟金海华丽嘉酒店,373,120.738617,31.64329,酒店宾馆
锦江国际大酒店,374,121.127579,31.45186,酒店宾馆
天铭国际大酒店,376,120.756058,31.654341,酒店宾馆
苏州托尼洛.兰博基尼书苑酒店,385,120.682755,31.321125,酒店宾馆
凯莱大酒店,393,120.3274102,31.50432321,酒店宾馆
南通金石国际大酒店,398,120.8899069,31.97351058,酒店宾馆
书香世家.平江府酒店,412,120.6328953,31.31907464,酒店宾馆
姑苏锦江大酒店,415,120.632607,31.253349,酒店宾馆
长兴国际大酒店,416,119.914902,31.014429,酒店宾馆
苏州春申湖度假酒店,420,120.5547,31.42328,酒店宾馆
苏州桃花坞国际青年旅舍,434,120.6150049,31.32018853,酒店宾馆
昆山美高美国际酒店,436,121.047409,31.312944,酒店宾馆
苏州独墅湖世尊酒店,451,120.723244,31.279322,酒店宾馆
苏州威联豪生酒店,454,120.593498,31.21722,酒店宾馆
南园宾馆,454,120.63156,31.29771,酒店宾馆
东山宾馆,455,120.4144093,31.0959565,酒店宾馆
常熟中江广场皇冠假日酒店,458,120.77673,31.65588,酒店宾馆
苏州阳澄湖澜廷度假酒店,458,120.78779,31.417495,酒店宾馆
东方云鼎温泉度假酒店,462,120.852058,31.446367,酒店宾馆
国贸酒店,477,120.549683,31.87685,酒店宾馆
尼盛万丽酒店,480,120.66444,31.31421,酒店宾馆
苏州清山酒店,486,120.4262368,31.32849885,酒店宾馆
独墅湖会议酒店,494,120.723244,31.279322,酒店宾馆
苏州玄妙索菲特大酒店,521,120.62606,31.3076,酒店宾馆
唐朝大酒店,527,121.226799,31.31661,酒店宾馆
书香世家树山温泉酒店,531,120.461487,31.367256,酒店宾馆
瑞士大酒店,540,120.968567,31.38295,酒店宾馆
湖州太湖雷迪森温泉度假酒店,560,120.121277,30.94832,酒店宾馆
雅都大酒店,566,120.59765,31.29935,酒店宾馆
苏州万豪酒店,575,120.583107,31.30271,酒店宾馆
宝龙福朋酒店,596,121.14299,31.463081,酒店宾馆
苏州香山国际大酒店,613,120.410667,31.212986,酒店宾馆
无锡新湖铂尔曼大酒店,614,120.368713,31.488344,酒店宾馆
RAMADA 格林菲尔华美达大酒店,622,121.009499,31.379715,酒店宾馆
万怡酒店,627,120.672264,31.316835,酒店宾馆
苏州建屋豪生全套房酒店,650,120.677292,31.294237,酒店宾馆
苏州福朋喜来登酒店,658,120.7215554,31.26074901,酒店宾馆
上海朱家角皇家金煦花园酒店,660,121.046173,31.105709,酒店宾馆
金鸡湖大酒店,686,120.710213,31.284622,酒店宾馆
东恒盛国际大酒店,726,120.6445,31.14789,酒店宾馆
苏州维景国际大酒店,767,120.671622,31.293806,酒店宾馆
Pullman Hotel 昆山新港湾铂尔曼酒店,776,120.9659274,31.40327263,酒店宾馆
昆山托尼洛兰博基尼酒店,778,120.953445,31.385227,酒店宾馆
阳澄湖费尔蒙酒店,871,120.8370034,31.38719125,酒店宾馆
静思豪生大酒店,893,120.689278,31.158575,酒店宾馆
苏州洲际酒店,917,120.7102823,31.31900353,酒店宾馆
华西龙溪国际大酒店,1001,120.428741,31.82963,酒店宾馆
湖州喜来登温泉度假酒店,1051,120.104668,30.9622,酒店宾馆
昆山花桥希尔顿逸林酒店,1265,121.154015,31.28709,酒店宾馆
枕水度假酒店,1401,120.477493,30.747314,酒店宾馆
新城花园酒店,1533,120.57147,31.29315,酒店宾馆
苏州中茵皇冠假日酒店,1550,120.6825,31.3222,酒店宾馆
吴宫泛太平洋大酒店,1636,120.61689,31.28993,酒店宾馆
香格里拉大酒店,1789,120.55882,31.29243,酒店宾馆
苏州金鸡湖凯宾斯基大酒店,3033,120.706619,31.2866,酒店宾馆
